Lp.,Stara nazwa,Stary skrót,Nowa nazwa,Nowy skrót,Data zmiany
1,KOLASTYNA,KOL,MIRACULUM,MIR,2011-01-07
2,BEEFSAN,BEF,PBSFINANSE,PBF,2011-01-17
3,KAREN,KAR,CCENERGY,CCE,2011-01-27
4,INSTAL,INS,AWBUD,AWB,2011-03-04
5,GFPREMIUM,PRE,PRAGMAFA,PRF,2011-04-11
6,FORTISPL,FTS,BNPPL,BNP,2011-05-04
7,NEWWORLDR,NWR,NEWWORLDN,NWN,2011-05-09
8,OPTIMUS,OPT,CDRED,CDR,2011-08-02
9,JUTRZENKA,JTZ,COLIAN,COL,2011-08-04
10,PGF,PGF,PELION,PEL,2011-12-01
11,GASTELZUR,GZU,HERKULES,HRS,2011-12-16
