Lp.,Spółka,Skrót
255,CPENERGIA,CPE
256,PANOVA,NVA
257,UNICREDIT,UCG
258,ZETKAMA,ZKA
259,WIKANA,WIK
260,ARMATURA,ARM
261,EUIMPLANT,EUI
262,POLREST,POL
263,TFONE,TFO
264,ABMSOLID,ABM
265,OTMUCHOW,OTM
266,CENTKLIMA,CKL
267,DECORA,DCR
268,MISPOL,MIP
269,SECOGROUP,SWG
270,RELPOL,RLP
271,PERMEDIA,PMD
272,TRION,TIN
273,ELEKTROTI,ELT
274,WESTAISIC,WES
275,ZYWIEC,ZWC
276,MEWA,MEW
277,ESSYSTEM,ESS
278,FERRO,FRO
279,JUPITER,JPR
280,BSCDRUK,BSC
281,ZUE,ZUE
282,FASING,FSG
283,NOVAKBM,KBM
284,REMAK,RMK
285,ASBIS,ASB
286,BIPROMET,BPM
287,NETMEDIA,NEM
288,PCCINTER,PCI
289,ERGIS,EEF
290,EUCO,EUC
291,PROCHEM,PRM
292,APLISENS,APN
293,EMCINSMED,EMC
294,KCI,KCI
295,HELIO,HEL
296,VINDEXUS,VIN
297,4FUNMEDIA,4FM
298,ESTAR,EST
299,POINTGROUP,PGM
300,MAKRUM,MKM
301,DROP,DRP
302,CAPITAL,CPA
303,ACAUTOGAZ,ACG
304,PROJPRZEM,PJP
305,POLCOLORIT,PLT
306,POLNA,PLA
307,INTROL,INL
308,ADVGRUPA,ADV
309,INDYKPOL,IND
310,TUP,TUP
311,WILBO,WLB
312,NOVITA,NVT
313,MEDIATEL,MTL
314,ARTERIA,ARR
315,HYDROTOR,HDR
316,HYPERION,HYP
317,TELL,TEL
318,BEDZIN,BDZ
319,TRITON,TRI
320,IZOLACJA,IZO
321,JHMDEV,JHM
322,EUROTEL,ETL
323,RAINBOW,RBW
324,ULMA,ULM
325,INPRO,INP
326,RONSON,RON
327,SWISSMED,SWD
328,PATENTUS,PAT
329,PRAGMAFA,PRF
330,FOTA,FOT
331,MCLOGIC,MCL
332,DREWEX,DRE
333,YAWAL,YWL
334,STAPORKOW,ZUK
335,ANTI,ANT
336,VOTUM,VOT
337,CASHFLOW,CFL
338,HARDEX,HDX
339,BERLING,BRG
340,QUERCUS,QRS
341,CAMMEDIA,CAM
342,IDEATFI,IDA
343,DELKO,DEL
344,PROCAD,PRD
345,TRANSPOL,TRN
346,SONEL,SON
347,SIMPLE,SME
348,ROPCZYCE,RPC
349,SKYLINE,SKL
350,INTERBUD,ITB
351,CELTIC,CPD
352,OPTEAM,OPM
353,PAMAPOL,PMP
354,ATLANTAPL,ATP
355,PRIMAMODA,PMA
356,ENERGOINS,ENI
357,MAKARONPL,MAK
358,REINHOLD,RHD
359,MOSTALPLC,MSP
360,LSISOFT,LSI
361,DMWDM,WDM
362,ATLASEST,ATL
363,ENAP,ENP
364,ODLEWNIE,ODL
365,KINOPOL,KPL
366,ENELMED,ENE
367,B3SYSTEM,B3S
368,WANDALEX,WDX
369,ASSECOSEE,ASE
370,ARCUS,ARC
371,SKOK,SKO
372,PRAGMAINK,PRI
373,NORTCOAST,NCT
374,KREC,KRC
375,BETACOM,BCM
376,EDINVEST,EDI
377,NTTSYSTEM,NTT
378,KPPD,KPD
379,SUWARY,SUW
380,ZAMET,ZMT
381,HARPER,HRP
382,PGODLEW,PGO
383,AWBUD,AWB
384,FASTFIN,FFI
385,EUROMARK,EMK
386,INTERSPPL,IPO
387,IQP,IQP
388,ELZAB,ELZ
389,WOJAS,WOJ
390,PEGAS,PGS
391,VARIANT,VRT
392,AMPLI,APL
393,TOYA,TOA
394,PWRMEDIA,PWM
395,AGROWILL,AWG
396,IVMX,IMX
397,TRAVELPL,TVL
398,TERESA,TER
399,COMPLEX,CMX
400,MOJ,MOJ
401,RAFAMET,RAF
402,ECARD,ECD
403,EUROFAKTR,EFR
404,PBOANIOLA,PBO
405,POLMED,POM
406,WADEX,WAX
407,NORDEABP,NDA
408,TALEX,TLX
409,EFEKT,EFK
410,INTERFERI,INF
411,BOS,BOS
412,UNIMA,U2K
413,KOFOLA,KFL
414,BUDVARCEN,BDV
415,POLLENAE,PLE
416,RESBUD,RES
417,SEKO,SEK
418,INTAKUS,ITK
419,TECHMEX,TEX
420,HERMAN,HER
421,OLYMPIC,OEG
422,BNPPL,BNP
423,QUANTUM,QNT
424,PRESCO,PRE
425,MEGARON,MEG
426,WISTIL,WST
427,SWARZEDZ,SWZ
428,BEST,BST
429,IRENA,IRE
430,PEMUG,PMG
431,EUROHOLD,EHG
432,ORZEL,ORZ
433,SOPHARMA,SPH
434,DZPOLSKA,DZP
435,ENERGOPN,EPN
436,NAFTA,NFT
437,RUCH,RCH
438,WOLAINFO,WIN
