Lp.,Spółka,Data debiutu,Kraj pochodzenia
1,AVIASG,2011-03-03,Litwa
2,ESTAR,2011-03-22,Węgry
3,IMCOMPANY,2011-05-04,Ukraina
4,KSGAGRO,2011-05-05,Ukraina
5,NEWWORLDR,2011-05-09,Wielka Brytania
6,NOVAKBM,2011-05-11,Słowenia
7,WESTAISIC,2011-06-15,Ukraina
8,OVOSTAR,2011-06-29,Ukraina
9,AGROWILL,2011-07-08,Litwa
10,COALENERG,2011-08-04,Ukraina
11,SOPHARMA,2011-11-28,Bułgaria
12,EUROHOLD,2011-12-15,Bułgaria
