Lp.,Stara nazwa,Stary skrót,Nowa nazwa,Nowy skrót,Data zmiany
1,HOOP,HOP,KOFOLA,KFL,2009-01-19
2,MASTERS,MST,WIKANA,WIK,2009-03-31
3,CENSTALGD,CSG,COGNOR,COG,2009-05-11
4,PONARFEH,PNF,PONAR,PON,2009-09-18
5,LZPS,LZP,PROTEKTOR,PRT,2009-09-25
6,GRKOSCIU,GRK,POLJADLO,PLJ,2009-10-05
7,INWESTCON,INC,INVESTCON,INC,2009-11-23
