Lp.,Spółka,Cena emisyjna,Pierwszy dzień,Pierwsze zamknięcie,Kurs na koniec roku,Zmiana kursu od emisji,Zmiana od pierwszego zamknięcia
1,CENTKLIMA,7.10,2009-01-06,11.00,11.40,60.56,3.64
2,BUMECH,13.60,2009-01-14,18.89,9.05,-33.46,-52.09
3,VINDEXUS,6.00,2009-03-23,7.80,6.22,3.67,-20.26
4,APLISENS,6.00,2009-05-25,6.65,6.86,14.33,3.16
5,IPOPEMA,5.00,2009-05-26,5.87,8.10,62.00,37.99
6,BOGDANKA,48.00,2009-06-25,57.50,71.00,47.92,23.48
7,DELKO,9.50,2009-09-18,10.52,9.47,-0.32,-9.98
8,ARCTIC,15.00,2009-10-23,15.40,16.15,7.67,4.87
9,ASSECOSEE,14.00,2009-10-28,17.20,17.00,21.43,-1.16
10,PGE,23.00,2009-11-06,25.99,24.50,6.52,-5.73
11,PATENTUS,2.30,2009-11-09,2.45,2.37,3.04,-3.27
12,PCCINTER,3.00,2009-12-18,3.15,3.20,6.67,1.59
13,INTAKUS,2.20,2009-12-22,2.12,2.00,-9.09,-5.66
