Lp.,Spółka,Skrót
153,BBICAPNFI,BBC
154,ZREMB,ZRE
155,PRONOX,PRO
156,ADVADIS,ADS
157,FORTE,FTE
158,RUCH,RCH
159,ATM,ATM
160,GINOROSSI,GRI
161,SANOK,SNK
162,ERBUD,ERB
163,SELENAFM,SEL
164,ANTI,ANT
165,ALMA,ALM
166,STALPROFI,STF
167,JAGO,JAG
168,ARMATURA,ARM
169,IMPEL,IPL
170,ABPL,ABE
171,DEBICA,DBC
172,PEKAES,PEK
173,NOWAGALA,CNG
174,RONSON,RON
175,WSIP,WSP
176,WARIMPEX,WXF
177,INSTALKRK,INK
178,SWISSMED,SWD
179,ERG,ERG
180,ACTION,ACT
181,FERRUM,FER
182,CAPITAL,CPA
183,ATMGRUPA,ATG
184,FON,FON
185,ROPCZYCE,RPC
186,KOELNER,KLR
187,SWARZEDZ,SWZ
188,QUMAKSEK,QSM
189,14ZACH,14N
190,KRUSZWICA,KSW
191,POLCOLORIT,PLT
192,FAM,FAM
193,ULMA,ULM
194,POLNA,PLA
195,SNIEZKA,SKA
196,SKOK,SKO
197,INTEGERPL,ITG
198,TRION,TIN
199,TIM,TIM
200,BYTOM,BTM
201,WIELTON,WLT
202,TUP,TUP
203,ASSECOBS,ABS
204,SKYEUROPE,SKY
205,MIESZKO,MSO
206,POINTGROUP,PGM
207,ORZBIALY,OBL
208,WARFAMA,WFM
209,ENERGOPOL,EPL
210,OPONEO.PL,OPN
211,PROTEKTOR,PRT
212,PANOVA,NVA
213,INDYKPOL,IND
214,MAGELLAN,MAG
215,WIKANA,WIK
216,PEGAS,PGS
217,CPENERGIA,CPE
218,ENERGOPN,EPN
219,ONE2ONE,O2O
220,PAMAPOL,PMP
221,HYPERION,HYP
222,PROJPRZEM,PJP
223,ZASTAL,ZST
224,ZELMER,ZLR
225,CITYINTER,CIA
226,ENERGOINS,ENI
227,NEPENTES,NEP
228,ORZEL,ORZ
229,PROCAD,PRD
230,TETA,TET
231,KOMPUTRON,KOM
232,RADPOL,RDL
233,RAINBOW,RBW
234,WILBO,WLB
235,REMAK,RMK
236,RELPOL,RLP
237,COMP,CMP
238,WASKO,WAS
239,PWRMEDIA,PWM
240,TELL,TEL
241,ARCTIC,ATC
242,INVESTCON,INC
243,NAFTA,NFT
244,IPOPEMA,IPE
245,ABMSOLID,ABM
246,ECARD,ECD
247,BANKIER.PL,BPL
248,CORMAY,CRM
249,ZPUE,PUE
250,MWTRADE,MWT
251,PEPEES,PPS
252,ARTERIA,ARR
253,STORMM,STM
254,DECORA,DCR
255,NOVITA,NVT
256,DREWEX,DRE
257,POLJADLO,PLJ
258,KOMPAP,KMP
259,ESSYSTEM,ESS
260,BAKALLAND,BAK
261,TRITON,TRI
262,ELEKTROTI,ELT
263,NOVITUS,NVS
264,NETMEDIA,NEM
265,EUROFAKTR,EFR
266,PRIMAMODA,PMA
267,KABLE,KBL
268,NORTCOAST,NCT
269,HARDEX,HDX
270,MOSTALPLC,MSP
271,ZYWIEC,ZWC
272,ODLEWNIE,ODL
273,SUWARY,SUW
274,IVMX,IMX
275,ATREM,ATR
276,LENA,LEN
277,PROSPER,PSP
278,SILVANO,SFG
279,KONSSTALI,KST
280,SECOGROUP,SWG
281,PROCHEM,PRM
282,KAREN,KAR
283,EUROTEL,ETL
284,UNIBEP,UNI
285,NTTSYSTEM,NTT
286,TRAVELPL,TVL
287,MEDIATEL,MTL
288,PEMUG,PMG
289,SFINKS,SFS
290,POZBUD,POZ
291,LSISOFT,LSI
292,ERGIS,EEF
293,REDAN,RDN
294,SANWIL,SNW
295,RAFAMET,RAF
296,DRAGOWSKI,ADD
297,MAKARONPL,MAK
298,MOJ,MOJ
299,COMPLEX,CMX
300,ENAP,ENP
301,EUROMARK,EMK
302,SKYLINE,SKL
303,CAMMEDIA,CAM
304,MAKRUM,MKM
305,INSTAL,INS
306,RESBUD,RES
307,FOTA,FOT
308,CASHFLOW,CFL
309,BETACOM,BCM
310,PERMEDIA,PMD
311,AMPLI,APL
312,BMPAG,BMP
313,ATLANTAPL,ATP
314,MCLOGIC,MCL
315,DGA,DGA
316,PCGUARD,PCG
317,HELIO,HEL
318,WOLAINFO,WIN
319,INTERFERI,INF
320,04PRO,04N
321,B3SYSTEM,B3S
322,WANDALEX,WDX
323,DROP,DRP
324,HYDROTOR,HDR
325,PATENTUS,PAT
326,CENTKLIMA,CKL
327,REINHOLD,RHD
328,ARCUS,ARC
329,INTROL,INL
330,BIPROMET,BPM
331,YAWAL,YWL
332,BUMECH,BMC
333,SONEL,SON
334,MARVIPOL,MVP
335,BUDVARCEN,BDV
336,KREDYTIN,KRI
337,SOBIESKI,BVD
338,ELZAB,ELZ
339,MENNICA,MNC
340,TALEX,TLX
341,FASING,FSG
342,ELKOP,EKP
343,GFPREMIUM,PRE
344,ATLASEST,ATL
345,UNIMA,U2K
346,VARIANT,VRT
347,K2INTERNT,K2I
348,KRAKCHEM,KCH
349,SIMPLE,SME
350,INTERSPPL,IPO
351,ZETKAMA,ZKA
352,APLISENS,APN
353,OLYMPIC,OEG
354,WOJAS,WOJ
355,KOFOLA,KFL
356,VINDEXUS,VIN
357,KPPD,KPD
358,STAPORKOW,ZUK
359,MUZA,MZA
360,TERESA,TER
361,EFEKT,EFK
362,BOS,BOS
363,MEWA,MEW
364,NORDEABP,NDA
365,FORTISPL,FTS
366,SPRAY,SPY
367,QUANTUM,QNT
368,SEKO,SEK
369,IRENA,IRE
370,POLLENAE,PLE
371,SRUBEX,SRX
372,ASSECOSEE,ASE
373,ZEG,ZEG
374,BEDZIN,BDZ
375,WISTIL,WST
376,TUEUROPA,ERP
377,HERMAN,HER
378,BEST,BST
379,DELKO,DEL
380,13FORTUNA,13N
381,ARTMAN,ART
382,01NFI,01N
383,DZPOLSKA,DZP
384,GADUGADU,GGU
385,KRUK,KRK
