Lp.,Spółka,Skrót
1,PKOBP,PKO
2,KGHM,KGH
3,PEKAO,PEO
4,TPSA,TPS
5,PKNORLEN,PKN
6,PGNIG,PGN
7,BZWBK,BZW
8,BRE,BRE
9,TVN,TVN
10,GETIN,GTN
11,ASSECOPOL,ACP
12,GTC,GTC
13,PBG,PBG
14,BIOTON,BIO
15,LOTOS,LTS
16,CEZ,CEZ
17,HANDLOWY,BHW
18,POLIMEXMS,PXM
19,IMMOEAST,IEA
20,MILLENNIUM,MIL
21,CYFRPLSAT,CPS
22,PETROLINV,OIL
23,INGBSK,BSK
24,DUDA,DUD
25,CERSANIT,CST
26,CENTROZAP,CZP
27,AGORA,AGO
28,CEDC,CDC
29,PGE,PGE
30,BUDIMEX,BDX
31,IDMSA,IDM
32,GANT,GNT
33,NETIA,NET
34,KERNEL,KER
35,BORYSZEW,BRS
36,LCCORP,LCC
37,SKOTAN,SKT
38,POLNORD,PND
39,IMPEXMET,IPX
40,CCC,CCC
41,VISTULA,VST
42,NEWWORLDR,NWR
43,MCI,MCI
44,KOPEX,KPX
45,SYNTHOS,SNS
46,HAWE,HWE
47,MIDAS,MDS
48,KREZUS,KZS
49,AMREST,EAT
50,STALEXP,STX
51,MMPPL,MMP
52,KETY,KTY
53,JWCONSTR,JWC
54,SWIECIE,MSC
55,ORCOGROUP,OPG
56,BOGDANKA,LWB
57,EUROCASH,EUR
58,TECHMEX,TEX
59,CIECH,CIE
60,POLAQUA,PQA
61,PULAWY,ZAP
62,SYGNITY,SGN
63,MOSTALWAR,MSW
64,ORBIS,ORB
65,LPP,LPP
66,ECHO,ECH
67,ALCHEMIA,ALC
68,PLAZACNTR,PLZ
69,MOSTALZAB,MSZ
70,STALPROD,STP
71,BANKBPH,BPH
72,NFIEMF,EMF
73,HBPOLSKA,HBP
74,POLICE,PCE
75,TRAKCJA,TRK
76,EMPERIA,EMP
77,BBIZENNFI,BBZ
78,KOGENERA,KGN
79,ENEA,ENA
80,ZURAWIE,ZUR
81,MOSTALEXP,MSX
82,PEP,PEP
83,CHEMOS,CHS
84,RAFAKO,RFK
85,KOLASTYNA,KOL
86,IBSYSTEM,IBS
87,OPTIMUS,OPT
88,ATLANTIS,ATS
89,HTLSTREFA,HTL
90,LENTEX,LTX
91,BBIDEVNFI,BBD
92,KREDYTB,KRB
93,MNI,MNI
94,RUBICON,RBC
95,NOBLEBANK,NBL
96,UNICREDIT,UCG
97,KROSNO,KRS
98,DOMDEV,DOM
99,MONNARI,MON
100,BOMI,BMI
101,JUTRZENKA,JTZ
102,PPWK,PWK
103,HUTMEN,HTM
104,BARLINEK,BRK
105,06MAGNA,06N
106,INTERCARS,CAR
107,IZOLACJA,IZO
108,ENERGOPLD,EPD
109,ELBUDOWA,ELB
110,ELSTAROIL,ELS
111,GROCLIN,GCN
112,ACE,ACE
113,ASTARTA,AST
114,BUDOPOL,BDL
115,COGNOR,COG
116,PROCHNIK,PRC
117,AMICA,AMC
118,COMARCH,CMR
119,PAGED,PGD
120,PONAR,PON
121,PGF,PGF
122,AZOTYTARNOW,ATT
123,PLASTBOX,PLX
124,POLREST,POL
125,APATOR,APT
126,GRAAL,GRL
127,FAMUR,FMF
128,CCIINT,CCI
129,AMBRA,AMB
130,LUBAWA,LBW
131,TFONE,TFO
132,MERCOR,MCR
133,ASSECOSLO,ACS
134,HYGIENIKA,HGN
135,08OCTAVA,08N
136,MISPOL,MIP
137,FARMACOL,FCL
138,IGROUP,IGR
139,MIRBUD,MRB
140,OPTOPOL,OPL
141,MOL,MOL
142,DROZAPOL,DPL
143,GRAJEWO,GRJ
144,WAWEL,WWL
145,EFH,EFH
146,BEEFSAN,BEF
147,JUPITER,JPR
148,ASBIS,ASB
149,TORFARM,TFM
150,ZNTKLAPY,ZNT
151,IZNS,IZN
152,EMCINSMED,EMC
