Lp.,Stara nazwa,Stary skrót,Nowa nazwa,Nowy skrót,Data zmiany
1,05VICT,05N,RUBICON,RBC,2010-01-15
2,NOBLEBANK,NBL,GETINOBLE,GNB,2010-02-01
3,SRUBEX,SRX,ALTERCO,ALT,2010-02-11
4,PPWK,PWK,MIT,MIT,2010-02-18
5,ZURAWIE,ZUR,GASTELZUR,GZU,2010-03-08
6,TORFARM,TFM,NEUCA,NEU,2010-04-09
7,TSCAPITAL,TSC,LSTCAPITA,LST,2010-05-26
8,04PRO,04N,BLACKLION,BLI,2010-07-26
9,IBSYSTEM,IBS,CALATRAVA,CTC,2010-08-19
10,PONAR,PON,KCI,KCI,2010-10-11
