Lp.,Spółka,Cena emisyjna,Pierwszy dzień,Pierwsze zamknięcie,Kurs na koniec roku,Zmiana kursu od emisji,Zmiana od pierwszego zamknięcia
1,EKO,7.20,2010-03-24,8.25,7.35,2.08-,-10.91
2,FASTFIN,1.12,2010-03-30,1.06,0.76,-32.14,-28.30
3,FERRO,10.60,2010-04-14,12.57,11.00,3.77,-12.49
4,BERLING,7.00,2010-04-15,7.30,6.57,-6.14,-10.00
5,PZU,312.50,2010-05-12,360.00,355.50,13.76,-1.25
6,PRAGMAINK,15.70,2010-05-14,13.00,23.00,46.50,76.92
7,DSS,17.00,2010-05-17,15.85,16.59,-2.41,4.67
8,KOV,1.89,2010-05-25,1.83,1.58,-16.40,-13.66
9,LSTCAPITA,1.53,2010-05-26,1.42,1.01,-33.99,-28.87
10,ABCDATA,2.35,2010-06-17,2.36,4.00,70.21,69.49
11,TAURONPE,5.13,2010-06-30,5.05,6.57,28.07,30.10
12,RANKPROGR,10.77,2010-07-08,10.70,10.42,-3.25,-2.62
13,TESGAS,14.50,2010-07-21,15.85,16.40,13.10,3.47
15,OTMUCHOW,13.50,2010-09-29,14.49,15.98,18.37,10.28
14,HARPER,4.10,2010-07-23,4.70,4.20,2.44,-10.64
16,ZUE,15.00,2010-10-01,15.19,13.92,-7.20,-8.36
17,OPTEAM,5.44,2010-10-11,5.65,5.30,-2.57,-6.19
18,INTERBUD,15.00,2010-10-12,17.30,17.95,19.67,3.76
19,POLMED,3.50,2010-10-21,3.72,3.15,-10.00,-15.32
20,KREC,3.70,2010-10-26,3.87,3.95,6.76,2.07
21,EDINVEST,7.50,2010-10-27,7.31,6.60,-12.00,-9.71
22,FORTUNA,17.00,2010-10-28,17.15,15.21,-10.53,-11.31
23,ROBYG,2.00,2010-11-03,2.01,1.80,-10.00,-10.45
24,AGROTON,27.00,2010-11-08,28.84,34.86,29.11,20.87
25,GPW,43.00,2010-11-09,54.00,49.00,13.95,-9.26
26,TRANSPOL,8.00,2010-11-25,9.00,8.75,9.38,-2.78
27,4FUNMEDIA,18.00,2010-11-30,15.94,15.30,-15.00,-4.02
28,PTI,9.99,2010-12-01,9.50,12.00,20.12,26.32
29,MILKILAND,33.78,2010-12-06,36.01,44.84,32.74,24.52
30,VOTUM,3.80,2010-12-20,4.35,4.56,20.00,4.83
31,CELTIC,24.14,2010-12-23,49.99,30.40,25.93,-39.19
32,EKOEXPORT,8.50,2010-12-28,8.25,8.00,-5.88,-3.03
33,EUCO,18.00,2010-12-29,18.08,18.05,0.28,-0.17
34,SADOVAYA,8.60,2010-12-30,10.44,11.00,27.91,5.36
