Lp.,Spółka,Skrót
252,PEPEES,PPS
253,DECORA,DCR
254,TETA,TET
255,MAGELLAN,MAG
256,TIM,TIM
257,TUP,TUP
258,DROP,DRP
259,ULMA,ULM
260,POZBUD,POZ
261,MARVIPOL,MVP
262,ENAP,ENP
263,ROPCZYCE,RPC
264,EUROMARK,EMK
265,HYPERION,HYP
266,ATLASEST,ATL
267,REDAN,RDN
268,PEKAES,PEK
269,NEPENTES,NEP
270,TESGAS,TSG
271,PAMAPOL,PMP
272,BAKALLAND,BAK
273,EKO,EKO
274,BERLING,BRG
275,SADOVAYA,SGR
276,REINHOLD,RHD
277,RONSON,RON
278,WIKANA,WIK
279,OPTOPOL,OPL
280,PATENTUS,PAT
281,NOVITA,NVT
282,PEGAS,PGS
283,FOTA,FOT
284,CASHFLOW,CFL
285,RAINBOW,RBW
286,WARFAMA,WFM
287,FASING,FSG
288,WSIP,WSP
289,MCLOGIC,MCL
290,MILKILAND,MLK
291,ERGIS,EEF
292,RANKPROGR,RNK
293,FORTUNA,FEG
294,HARPER,HRP
295,WILBO,WLB
296,STAPORKOW,ZUK
297,SECOGROUP,SWG
298,INTROL,INL
299,ANTI,ANT
300,LSTCAPITA,LST
301,FASTFIN,FFI
302,FERRO,FRO
303,TELL,TEL
304,EUROTEL,ETL
305,ENERGOPN,EPN
306,NTTSYSTEM,NTT
307,ZUE,ZUE
308,MAKARONPL,MAK
309,NOVITUS,NVS
310,MEDIATEL,MTL
311,LSISOFT,LSI
312,LENA,LEN
313,GFPREMIUM,PRE
314,DELKO,DEL
315,ZPUE,PUE
316,CAMMEDIA,CAM
317,POLNA,PLA
318,B3SYSTEM,B3S
319,NORTCOAST,NCT
320,MAKRUM,MKM
321,INSTAL,INS
322,SKOK,SKO
323,PEMUG,PMG
324,SKYLINE,SKL
325,ALTERCO,ALT
326,SFINKS,SFS
327,ORZEL,ORZ
328,ESSYSTEM,ESS
329,OTMUCHOW,OTM
330,ARCUS,ARC
331,KREDYTIN,KRI
332,KRAKCHEM,KCH
333,MEWA,MEW
334,BEDZIN,BDZ
335,K2INTERNT,K2I
336,SONEL,SON
337,HELIO,HEL
338,PCCINTER,PCI
339,YAWAL,YWL
340,APLISENS,APN
341,WOJAS,WOJ
342,ELZAB,ELZ
343,SIMPLE,SME
344,PRIMAMODA,PMA
345,NAFTA,NFT
346,PWRMEDIA,PWM
347,BMPAG,BMP
348,DSS,DSS
349,IVMX,IMX
350,ASSECOSEE,ASE
351,HARDEX,HDX
352,TRAVELPL,TVL
353,VARIANT,VRT
354,ATLANTAPL,ATP
355,SWARZEDZ,SWZ
356,WOLAINFO,WIN
357,RESBUD,RES
358,NORDEABP,NDA
359,MOJ,MOJ
360,COMPLEX,CMX
361,EUROFAKTR,EFR
362,RAFAMET,RAF
363,ARTERIA,ARR
364,UNIMA,U2K
365,INTERFERI,INF
366,ZETKAMA,ZKA
367,TALEX,TLX
368,WANDALEX,WDX
369,BIPROMET,BPM
370,BETACOM,BCM
371,KREC,KRC
372,ECARD,ECD
373,PRAGMAINK,PRI
374,BOS,BOS
375,SEKO,SEK
376,INTERSPPL,IPO
377,SUWARY,SUW
378,ZNTKLAPY,ZNT
379,VINDEXUS,VIN
380,OLYMPIC,OEG
381,HTLSTREFA,HTL
382,TRANSPOL,TRN
383,OPTEAM,OPM
384,INTAKUS,ITK
385,KOFOLA,KFL
386,TERESA,TER
387,PTI,PTI
388,KABLE,KBL
389,KPPD,KPD
390,EFEKT,EFK
391,EKOEXPORT,EEX
392,ROBYG,ROB
393,BUDVARCEN,BDV
394,QUANTUM,QNT
395,EUCO,EUC
396,INTERBUD,ITB
397,WISTIL,WST
398,CELTIC,CPD
399,POLLENAE,PLE
400,SKYEUROPE,SKY
401,4FUNMEDIA,4FM
402,PROSPER,PSP
403,IRENA,IRE
404,EDINVEST,EDI
405,BEST,BST
406,FORTISPL,FTS
407,HERMAN,HER
408,BANKIER.PL,BPL
409,ZEG,ZEG
410,POLMED,POM
411,DZPOLSKA,DZP
412,14ZACH,14N
