Lp.,Spółka,Skrót
1,KGHM,KGH
2,PKOBP,PKO
3,PEKAO,PEO
4,PZU,PZU
5,TPSA,TPS
6,PKNORLEN,PKN
7,PGE,PGE
8,BZWBK,BZW
9,PGNIG,PGN
10,TAURONPE,TPE
11,PETROLINV,OIL
12,BRE,BRE
13,GETIN,GTN
14,ASSECOPOL,ACP
15,TVN,TVN
16,LOTOS,LTS
17,GTC,GTC
18,BORYSZEW,BRS
19,KERNEL,KER
20,ENEA,ENA
21,CEZ,CEZ
22,PBG,PBG
23,POLIMEXMS,PXM
24,HANDLOWY,BHW
25,BIOTON,BIO
26,CYFRPLSAT,CPS
27,MILLENNIUM,MIL
28,BOGDANKA,LWB
29,GPW,GPW
30,IDMSA,IDM
31,CEDC,CDC
32,INGBSK,BSK
33,CENTROZAP,CZP
34,NEWWORLDR,NWR
35,IMPEXMET,IPX
36,NETIA,NET
37,MCI,MCI
38,EUROCASH,EUR
39,SYNTHOS,SNS
40,BUDIMEX,BDX
41,SKOTAN,SKT
42,AGORA,AGO
43,MIDAS,MDS
44,MOL,MOL
45,KOPEX,KPX
46,CERSANIT,CST
47,HAWE,HWE
48,KOV,KOV
49,LPP,LPP
50,CITYINTER,CIA
51,OPTIMUS,OPT
52,DUDA,DUD
53,CHEMOS,CHS
54,CCIINT,CCI
55,AMREST,EAT
56,MIRACULUM,MIR
57,IMMOEAST,IEA
58,ECHO,ECH
59,POLNORD,PND
60,AMICA,AMC
61,CCC,CCC
62,PULAWY,ZAP
63,KETY,KTY
64,BANKBPH,BPH
65,ASTARTA,AST
66,KAREN,KAR
67,GANT,GNT
68,HBPOLSKA,HBP
69,STALPROD,STP
70,BOMI,BMI
71,KOGENERA,KGN
72,BBIZENNFI,BBZ
73,MOSTALWAR,MSW
74,CIECH,CIE
75,EMPERIA,EMP
76,KREZUS,KZS
77,MMPPL,MMP
78,TRION,TIN
79,SWIECIE,MSC
80,IGROUP,IGR
81,KREDYTB,KRB
82,SYGNITY,SGN
83,JWCONSTR,JWC
84,RAFAKO,RFK
85,BBIDEVNFI,BBD
86,CALATRAVA,CTC
87,PBSFINANSE,PBF
88,ELBUDOWA,ELB
89,AZOTYTARNOW,ATT
90,COGNOR,COG
91,TECHMEX,TEX
92,EFH,EFH
93,UNICREDIT,UCG
94,NFIEMF,EMF
95,VISTULA,VST
96,DGA,DGA
97,LUBAWA,LBW
98,PEP,PEP
99,ORBIS,ORB
100,MOSTALZAB,MSZ
101,LCCORP,LCC
102,APATOR,APT
103,MONNARI,MON
104,POLICE,PCE
105,MENNICA,MNC
106,MIRBUD,MRB
107,ARCTIC,ATC
108,RUBICON,RBC
109,AGROTON,AGT
110,JUTRZENKA,JTZ
111,ALCHEMIA,ALC
112,TRAKCJA,TRK
113,MWTRADE,MWT
114,POLAQUA,PQA
115,MNI,MNI
116,INTERCARS,CAR
117,GASTELZUR,GZU
118,STALEXP,STX
119,08OCTAVA,08N
120,MERCOR,MCR
121,ERBUD,ERB
122,KOMPUTRON,KOM
123,COMARCH,CMR
124,PLAZACNTR,PLZ
125,DOMDEV,DOM
126,RUCH,RCH
127,HUTMEN,HTM
128,MOSTALEXP,MSX
129,ORCOGROUP,OPG
130,WAWEL,WWL
131,ABPL,ABE
132,PAGED,PGD
133,CORMAY,CRM
134,ATM,ATM
135,BUDOPOL,BDL
136,FARMACOL,FCL
137,PCGUARD,PCG
138,ZELMER,ZLR
139,GINOROSSI,GRI
140,ADVADIS,ADS
141,LENTEX,LTX
142,ENERGOPLD,EPD
143,ZASTAL,ZST
144,PRONOX,PRO
145,BARLINEK,BRK
146,INSTALKRK,INK
147,SANWIL,SNW
148,PGF,PGF
149,JAGO,JAG
150,IPOPEMA,IPE
151,STALPROFI,STF
152,POLJADLO,PLJ
153,INTEGERPL,ITG
154,KRUSZWICA,KSW
155,MIT,MIT
156,ACE,ACE
157,06MAGNA,06N
158,PROCHNIK,PRC
159,ALMA,ALM
160,KONSSTALI,KST
161,NOWAGALA,CNG
162,TUEUROPA,ERP
163,IZNS,IZN
164,IMPEL,IPL
165,FON,FON
166,ORZBIALY,OBL
167,SNIEZKA,SKA
168,OPONEO.PL,OPN
169,WASKO,WAS
170,ELSTAROIL,ELS
171,AMPLI,APL
172,ERG,ERG
173,GRAAL,GRL
174,GETINOBLE,GNB
175,POLREST,POL
176,GROCLIN,GCN
177,NEUCA,NEU
178,COMP,CMP
179,FAMUR,FMF
180,AMBRA,AMB
181,ACTION,ACT
182,TFONE,TFO
183,SILVANO,SFG
184,FERRUM,FER
185,PROTEKTOR,PRT
186,ASSECOSLO,ACS
187,PLASTBOX,PLX
188,FORTE,FTE
189,MUZA,MZA
190,ONE2ONE,O2O
191,INVESTCON,INC
192,CPENERGIA,CPE
193,ATLANTIS,ATS
194,ENERGOPOL,EPL
195,GRAJEWO,GRJ
196,BLACKLION,BLI
197,DROZAPOL,DPL
198,DRAGOWSKI,ADD
199,BYTOM,BTM
200,SANOK,SNK
201,ABMSOLID,ABM
202,ELEKTROTI,ELT
203,ARMATURA,ARM
204,KCI,KCI
205,UNIBEP,UNI
206,SOBIESKI,BVD
207,BBICAPNFI,BBC
208,KOMPAP,KMP
209,DEBICA,DBC
210,CENTKLIMA,CKL
211,QUMAKSEK,QSM
212,IZOLACJA,IZO
213,WARIMPEX,WXF
214,JUPITER,JPR
215,MISPOL,MIP
216,BUMECH,BMC
217,SWISSMED,SWD
218,KOELNER,KLR
219,CAPITAL,CPA
220,MIESZKO,MSO
221,ABCDATA,ABC
222,TRITON,TRI
223,ELKOP,EKP
224,FAM,FAM
225,REMAK,RMK
226,ZREMB,ZRE
227,ATMGRUPA,ATG
228,PROCAD,PRD
229,ASSECOBS,ABS
230,EMCINSMED,EMC
231,NETMEDIA,NEM
232,RELPOL,RLP
233,HYGIENIKA,HGN
234,ATREM,ATR
235,RADPOL,RDL
236,POLCOLORIT,PLT
237,INDYKPOL,IND
238,PERMEDIA,PMD
239,DREWEX,DRE
240,SELENAFM,SEL
241,WIELTON,WLT
242,PANOVA,NVA
243,PROJPRZEM,PJP
244,ODLEWNIE,ODL
245,ASBIS,ASB
246,MOSTALPLC,MSP
247,PROCHEM,PRM
248,POINTGROUP,PGM
249,HYDROTOR,HDR
250,ZYWIEC,ZWC
251,ENERGOINS,ENI
