Lp.,Spółka,Dzień zawieszenia,Dzień ostatniego notowania,Powód wykluczenia
1,ELSTAROIL,2011-12-08,2012-03-09,Zniesienie dematerializacji akcji
2,GETINOBLE1,2012-06-01,2012-06-15,Fuzja z GET BANK S.A.
3,SWIECIE,2012-05-15,2012-08-06,Zniesienie dematerializacji akcji
4,NEWWORLDN,2012-10-04,2012-10-18,Reorganizacja grupy kapitałowej emitenta (zmiana siedziby)
5,TUEUROPA,2012-07-20,2012-10-22,Zniesienie dematerializacji akcji
6,JAGO,,2012-10-24,Upadłość likwidacyjna
7,CENTKLIMA,2012-10-01,2012-11-29,Zniesienie dematerializacji akcji
