Lp.,Spółka,Cena emisyjna,Pierwszy dzień,Pierwsze zamknięcie,Kurs na koniec roku,Zmiana kursu od emisji,Zmiana od pierwszego zamknięcia
1,GETINOBLE,1.33,20.01.2012,1.56,1.79,34.59,14.74
2,BOWIM,8.50,25.01.2012,10.50,4.23,-50.24,-59.71
3,NOKAUT,12.00,14.03.2012,12.64,6.59,-45.08,-47.86
4,VANTAGE,4.72,26.03.2012,1.81,1.31,-72.25,-27.62
5,KRKA,202.10,11.04.2012,210.00,220.00,8.86,4.76
6,SOLAR,13.00,19.04.2012,13.84,5.60,-56.92,-59.54
7,MOBRUK,99.00,25.04.2012,99.00,50.00,-49.49,-49.49
8,WORKSERV,6.00,26.04.2012,7.90,5.65,-5.83,-28.48
9,MEXPOLSKA,10.00,25.05.2012,10.05,2.35,-76.50,-76.62
10,ATMSI,2.65,28.05.2012,2.17,1.23,-53.58,-43.32
11,PCCEXOL,1.29,3.08.2012,1.40,4.00,210.08,185.71
12,KDMSHIPNG,32.40,9.08.2012,33.00,25.10,-22.53,-23.94
13,TATRY,178.40,15.10.2012,179.00,183.00,2.58,2.23
14,VOXEL,15.56,23.10.2012,15.05,18.10,16.32,20.27
15,EXILLON,7.36,29.10.2012,7.40,7.94,7.88,7.30
16,ZEPAK,26.20,30.10.2012,25.90,28.45,8.59,9.85
17,ALIOR,57.00,14.12.2012,60.90,62.65,9.91,2.87
18,INTERAOLT,24.17,18.12.2012,25.75,26.64,10.22,3.46
19,CZTOREBKA-PDA,7.00,28.12.2012,11.64,11.64,66.29,0.00
