Lp.,Spółka,Data debiutu,Kraj pochodzenia
1,KRKA,2012-04-11,Słowenia
2,AERFINANC,2012-07-02,Wielka Brytania
3,KDMSHIPNG,2012-08-09,Ukraina
4,TATRY,2012-10-15,Słowacja
5,EXILLON,2012-10-29,Rosja
6,INTERAOLT,2012-12-18,Litwa
