Lp.,Spółka,Skrót
254,SWISSMED,SWD
255,ALMA,ALM
256,ELEKTROTI,ELT
257,PANOVA,NVA
258,ASSECOBS,ABS
259,MWTRADE,MWT
260,KOELNER,KLR
261,PGODLEW,PGO
262,KRUSZWICA,KSW
263,POLAQUA,PQA
264,PBOANIOLA,PBO
265,ASSECOSLO,ACS
266,ADVGRUPA,ADV
267,ZUE,ZUE
268,ASSECOSEE,ASE
269,ERGIS,EEF
270,NTTSYSTEM,NTT
271,BBICAPNFI,BBC
272,IDEATFI,IDA
273,MEDIATEL,MTL
274,SELENAFM,SEL
275,ONE2ONE,O2O
276,PEKAES,PEK
277,ADVADIS,ADS
278,NOVAKBM,KBM
279,PROCHNIK,PRC
280,ERBUD,ERB
281,INVESTCON,INC
282,POINTGROUP,PGM
283,JUPITER,JPR
284,HUTMEN,HTM
285,ODLEWNIE,ODL
286,FOTA,FOT
287,MAKRUM,MKM
288,PROJPRZEM,PJP
289,BUMECH,BMC
290,SANWIL,SNW
291,CENTKLIMA,CKL
292,PROCHEM,PRM
293,PRAGMAINK,PRI
294,COMPLEX,CMX
295,KRAKCHEM,KCH
296,RAINBOW,RBW
297,EUCO,EUC
298,EUIMPLANT,EUI
299,RONSON,RON
300,CAMMEDIA,CAM
301,BSCDRUK,BSC
302,VINDEXUS,VIN
303,INTAKUS,ITK
304,ATMSI,ASI
305,DECORA,DCR
306,ROPCZYCE,RPC
307,PEGAS,PGS
308,DUON,DUO
309,LIBET,LBT
310,POZBUD,POZ
311,DROZAPOL,DPL
312,ENELMED,ENE
313,KCI,KCI
314,MOSTALPLC,MSP
315,FAM,FAM
316,ARTERIA,ARR
317,TELL,TEL
318,MARVIPOL,MVP
319,ESSYSTEM,ESS
320,EDINVEST,EDI
321,GETINOBLE1,GNB1
322,REINHOLD,RHD
323,NETMEDIA,NEM
324,ULMA,ULM
325,YAWAL,YWL
326,DROP,DRP
327,PRESCO,PRE
328,HYPERION,HYP
329,DGA,DGA
330,DRAGOWSKI,ADD
331,ARCUS,ARC
332,BAKALLAND,BAK
333,ROBYG,ROB
334,DMWDM,WDM
335,HARPER,HRP
336,BETACOM,BCM
337,PTI,PTI
338,WILBO,WLB
339,NORTCOAST,NCT
340,TFONE,TFO
341,EUROTEL,ETL
342,SKYLINE,SKL
343,DELKO,DEL
344,CASHFLOW,CFL
345,ENAP,ENP
346,QUERCUS,QRS
347,WIKANA,WIK
348,BMPAG,BMP
349,REMAK,RMK
350,VOXEL,VOX
351,CCENERGY,CCE
352,KREC,KRC
353,IVMX,IMX
354,POLNA,PLA
355,PATENTUS,PAT
356,HELIO,HEL
357,LIBRA,LBC
358,LSISOFT,LSI
359,NOKAUT,NOK
360,INTROL,INL
361,OPTEAM,OPM
362,IZOLACJA,IZO
363,BYTOM,BTM
364,TUP,TUP
365,TRANSPOL,TRN
366,MAKARONPL,MAK
367,VOTUM,VOT
368,PCCINTER,PCI
369,KOMPAP,KMP
370,ELZAB,ELZ
371,PROCAD,PRD
372,ATLANTAPL,ATP
373,POLCOLORIT,PLT
375,SONEL,SON
374,WANDALEX,WDX
376,INTERAOLT,IRL
377,PWRMEDIA,PWM
378,SIMPLE,SME
379,ATLASEST,ATL
380,B3SYSTEM,B3S
381,POLMED,POM
382,AWBUD,AWB
383,PRAGMAFA,PRF
384,SKOK,SKO
385,SUWARY,SUW
386,INTERBUD,ITB
387,KBDOM,KBD
388,MEWA,MEW
389,MCLOGIC,MCL
390,TOYA,TOA
391,EUROMARK,EMK
392,WADEX,WAX
393,OLYMPIC,OEG
394,VARIANT,VRT
395,PERMEDIA,PMD
396,INTERFERI,INF
397,WISTIL,WST
398,PCCEXOL,PCX
399,WOJAS,WOJ
400,BEDZIN,BDZ
401,DREWEX,DRE
402,FASTFIN,FFI
403,KONSSTALI,KST
404,PAMAPOL,PMP
405,MUZA,MZA
406,TRITON,TRI
407,SEKO,SEK
408,TRAVELPL,TVL
409,EFEKT,EFK
410,INDYKPOL,IND
411,AGROWILL,AWG
412,TALEX,TLX
413,BOWIM,BOW
414,AMPLI,APL
415,PRIMAMODA,PMA
416,TERESA,TER
417,MOBRUK,MBR
418,GREMISLTN,GRS
419,UNIMA,U2K
420,INPRO,INP
421,MEGARON,MEG
422,ECARD,ECD
423,KOFOLA,KFL
424,TATRY,TMR
425,CELTIC,CPD
426,RAFAMET,RAF
427,KDMSHIPNG,KDM
428,NORDEABP,NDA
429,MOJ,MOJ
430,KPPD,KPD
431,EXILLON,EXL
432,MISPOL,MIP
433,PEMUG,PMG
434,BUDVARCEN,BDV
435,MEXPOLSKA,MEX
436,EUROHOLD,EHG
437,NEWWORLDN,NWN
438,BEST,BST
439,POLLENAE,PLE
440,QUANTUM,QNT
441,SOPHARMA,SPH
442,BNPPL,BNP
443,ELSTAROIL,ELS
444,ESTAR,EST
