Lp.,Stara nazwa,Stary skrót,Nowa nazwa,Nowy skrót,Data zmiany
1,CERSANIT,CST,ROVESE,RSE,2012-01-18
2,EUROFAKTR,EFR,GREMISLTN,GRS,2012-02-28
3,HERMAN,HER,IFCAPITAL,IFC,2012-03-19
4,IZNS,IZN,KANIA,KAN,2012-03-27
5,CENTROZAP,CZP,IDEON,IDE,2012-05-23
6,PRONOX,PRO,REGNON,REG,2012-05-30
7,WARFAMA,WFM,URSUS,URS,2012-06-08
8,GETBANK,GTB,GETINOBLE,GNB,2012-06-18
9,TRION,TIN,KBDOM,KBD,2012-06-19
10,CPENERGIA,CPE,DUON,DUO,2012-07-02
11,HARDEX,HDX,LIBRA,LBC,2012-09-04
11,ANTI,ANT,GREENECO,GET,2012-09-25
