Lp.,Spółka,Cena emisyjna,Pierwszy dzień,Pierwsze zamknięcie,Kurs na koniec roku,Zmiana kursu od emisji,Zmiana od pierwszego zamknięcia
44,BOMI,23.00,2007-08-20,20.60,28.00,21.7,35.9
45,KRAKCHEM,7.00,2007-08-23,6.83,3.95,-43.6,-42.2
46,ZASTAL,4.20,2007-08-27,4.00,2.35,-44.1,-41.3
47,ARCUS,17.00,2007-09-10,13.75,10.98,-35.4,-20.2
48,OPONEO,8.00,2007-09-12,7.93,8.50,6.3,7.2
49,HBWLOCLAW,539.50,2007-09-18,555.00,440.00,-18.4,-20.7
50,ENERGOINS,18.00,2007-09-25,18.24,19.40,7.8,6.4
51,OLYMPIC,21.97,2007-09-26,22.15,13.28,-39.6,-40.1
52,RESBUD,42.00,2007-09-27,41.70,29.90,-28.8,-28.3
53,WOLAINFO,22.00,2007-09-28,21.96,15.30,-30.5,-30.3
54,MAGELLAN,42.00,2007-10-01,44.00,42.00,0.0,-4.6
55,RAINBOW,9.00,2007-10-09,8.63,7.77,-13.7,-10.0
56,CPENERGIA,9.00,2007-10-10,9.85,7.80,-13.3,-20.8
57,KPPD,117.00,2007-10-17,115.80,83.65,-28.5,-27.8
58,PLAZACNTR,10.39,2007-10-19,10.78,11.20,7.8,3.9
59,ORZBIALY,28.00,2007-10-22,27.90,22.96,-18.0,-17.7
60,IZOLACJA,64.00,2007-10-23,75.00,43.00,-32.8,-42.7
61,TERESA,27.00,2007-10-24,35.99,28.00,3.7,-22.2
62,ASBIS,6.50,2007-10-30,6.89,8.80,35.4,27.7
63,INTEGERPL,13.50,2007-10-30,14.89,13.65,1.1,-8.3
64,BIPROMET,25.00,2007-10-31,23.98,18.19,-27.2,-24.2
65,RONSON,5.75,2007-11-05,5.70,4.85,-15.7,-14.9
66,ZNTKLAPY,33.00,2007-11-07,29.30,116.10,251.8,296.3
67,INTROL,11.50,2007-11-08,10.84,9.74,-15.3,-10.2
68,COMPLEX,5.00,2007-11-14,4.70,3.29,-34.2,-30.0
69,ASSECOBS,11.00,2007-11-19,11.32,12.50,13.6,10.4
70,PRIMAMODA,12.00,2007-11-20,9.90,7.84,-34.7,-20.8
71,KERNEL,24.00,2007-11-23,24.00,34.00,41.7,41.7
72,WIELTON,7.00,2007-11-28,8.48,8.00,14.3,-5.7
73,CITYINTER,9.00,2007-11-30,11.30,9.00,0.0,-20.4
74,DROP,18.00,2007-12-04,28.50,29.99,66.6,5.2
75,SECOGROUP,37.00,2007-12-05,39.10,45.90,24.1,17.4
76,KONSSTALI,65.00,2007-12-06,74.80,68.90,6.0,-7.9
77,REINHOLD,25.37,2007-12-13,37.20,29.89,17.8,-19.7
78,NEPENTES,17.00,2007-12-14,20.40,20.10,18.2,-1.5
79,UNICREDIT,20.00,2007-12-20,20.10,20.44,2.2,1.7
80,EFH,7.50,2007-12-21,6.86,7.02,-6.4,2.3
81,WARFAMA,4.00,2007-12-27,3.91,3.99,-0.3,2.1
