Lp.,Stara nazwa,Stary skrót,Nowa nazwa,Nowy skrót,Data zmiany
1,HBWLOCLAW,HBW,HBPOLSKA,HBP,2008-01-17
2,POLCOLOR,PLT,POLCOLORIT,PLT,2008-03-27
3,TRASINTUR,TIN,TRION,TIN,2008-05-08
4,SWIECIE,MPP,SWIECIE,MSC,2008-06-16
5,ZTSERG,ERG,ERG,ERG,2008-08-29
