Lp.,Spółka,Cena emisyjna,Pierwszy dzień,Pierwsze zamknięcie,Kurs na koniec roku,Zmiana kursu od emisji,Zmiana od pierwszego zamknięcia
1,ATLASEST,14.32,2008-02-12,16.00,1.99,-86.1,-87.6
2,OPTOPOL,20.00,2008-02-19,26.81,14.85,-25.8,-44.6
3,HERMAN,1.80,2008-02-28,1.91,0.87,-51.7,-54.5
4,SKYLINE,9.00,2008-03-18,8.55,5.15,-42.8,-39.8
5,PWRMEDIA,5.00,2008-03-20,4.50,2.26,-54.8,-49.8
6,TRAKCJA,4.00,2008-04-01,4.92,4.04,1.0,-17.9
7,WOJAS,9.50,2008-04-02,8.88,3.99,-58.0,-55.1
8,HARDEX,100.00,2008-04-03,99.00,63.95,-36.1,-35.4
9,UNIBEP,9.00,2008-04-08,9.61,4.80,-46.7,-50.1
10,SELENAFM,33.00,2008-04-18,32.25,7.48,-77.3,-76.8
11,SOBIESKI,434.80,2008-04-21,421.00,116.00,-73.3,-72.5
12,K2INTERNT,25.00,2008-04-24,23.50,13.99,-44.0,-40.5
13,ZREMB,130.00,2008-04-25,115.00,0.94,-99.3,-99.2
14,CYFRPLSAT,12.50,2008-05-06,13.14,13.50,8.0,2.7
15,CAMMEDIA,10.00,2008-05-07,10.80,9.40,-6.0,-13.0
16,SKOK,2.20,2008-05-09,2.30,2.49,13.2,8.3
17,NEWWORLDR,58.05,2008-05-12,62.30,11.30,-80.5,-81.9
18,DREWEX,5.00,2008-05-15,5.00,2.23,-55.4,-55.4
19,GRKOSCIU,6.50,2008-06-10,5.95,6.00,-7.7,0.8
20,POZBUD,2.40,2008-06-11,2.00,2.03,-15.4,1.5
21,MARVIPOL,13.00,2008-06-19,16.00,12.25,-5.8,-23.4
22,SONEL,7.56,2008-06-23,7.30,4.54,-40.0,-37.8
23,AZOTYTARNOW,19.50,2008-06-30,15.99,6.92,-64.5,-56.7
24,CORMAY,2.60,2008-08-20,3.19,1.23,-52.7,-61.4
25,DRAGOWSKI,2.00,2008-09-29,6.84,1.76,-12.0,-74.3
26,CENTROZAP,1.00,2008-09-30,1.28,0.61,-39.0,-52.3
27,ENEA,15.40,2008-11-17,15.25,14.00,-9.1,-8.2
28,CHEMOS,1.70,2008-11-25,1.78,1.72,1.2,-3.4
29,ATREM,7.60,2008-12-18,6.70,7.19,-5.4,7.3
30,MWTRADE,2.63,2008-12-19,2.48,2.16,-17.9,-12.9
31,IZNS,2.70,2008-12-22,0.70,0.78,-71.1,11.4
32,MIRBUD,1.00,2008-12-29,2.48,2.48,148.0,0.0
33,ANTI,3.60,2008-12-30,4.14,4.27,18.6,3.1
