Lp.,Spółka,Skrót
1,PKOBP,PKO
2,TPSA,TPS
3,KGHM,KGH
4,PEKAO,PEO
5,PKNORLEN,PKN
6,PGNIG,PGN
7,BRE,BRE
8,BZWBK,BZW
9,TVN,TVN
10,GETIN,GTN
11,GTC,GTC
12,CEZ,CEZ
13,BIOTON,BIO
14,ASSECOPOL,ACP
15,LOTOS,LTS
16,PBG,PBG
17,POLIMEXMS,PXM
18,MILLENNIUM,MIL
19,AGORA,AGO
20,HANDLOWY,BHW
21,KERNEL,KER
22,INGBSK,BSK
23,POLNORD,PND
24,CYFRPLSAT,CPS
25,CERSANIT,CST
26,AMREST,EAT
27,PULAWY,ZAP
28,ORBIS,ORB
29,STALEXP,STX
30,POLAQUA,PQA
31,CIECH,CIE
32,MOSTALEXP,MSX
33,KOPEX,KPX
34,POLICE,PCE
35,IMMOEAST,IEA
36,KETY,KTY
37,MOSTALZAB,MSZ
38,BUDIMEX,BDX
39,BANKBPH,BPH
40,LCCORP,LCC
41,LPP,LPP
42,PETROLINV,OIL
43,PONARFEH,PNF
44,SYNTHOS,SNS
45,HAWE,HWE
46,MOSTALWAR,MSW
47,ECHO,ECH
48,CEDC,CDC
49,EUROCASH,EUR
50,SKOTAN,SKT
51,VISTULA,VST
52,NFIEMF,EMF
53,ALCHEMIA,ALC
54,PROKOM,PKM
55,MMPPL,MMP
56,GANT,GNT
57,NETIA,NET
58,TRAKCJA,TRK
59,SYGNITY,SGN
60,NEWWORLDR,NWR
61,IDMSA,IDM
62,STALPROD,STP
63,OPTIMUS,OPT
64,06MAGNA,06N
65,ATLANTIS,ATS
66,DUDA,DUD
67,UNICREDIT,UCG
68,EMPERIA,EMP
69,COMARCH,CMR
70,MIDAS,MDS
71,MOL,MOL
72,IMPEXMET,IPX
73,CCIINT,CCI
74,DOMDEV,DOM
75,INTERCARS,CAR
76,MCI,MCI
77,TOORA,TOR
78,ELBUDOWA,ELB
79,SWIECIE,MSC
80,KREDYTB,KRB
81,HYGIENIKA,HGN
82,LENTEX,LTX
83,PPWK,PWK
84,CENSTALGD,CSG
85,CCC,CCC
86,ZURAWIE,ZUR
87,GRAJEWO,GRJ
88,PROCHNIK,PRC
89,KREZUS,KZS
90,PEP,PEP
91,RUCH,RCH
92,PGF,PGF
93,ELSTAROIL,ELS
94,ORCOGROUP,OPG
95,ABG,ABG
96,ASTARTA,AST
97,BARLINEK,BRK
98,ADVADIS,ADS
99,SWARZEDZ,SWZ
100,FON,FON
101,KOGENERA,KGN
102,BBIDEVNFI,BBD
103,ELKOP,EKP
104,HBPOLSKA,HBP
105,BOMI,BMI
106,RAFAKO,RFK
107,NOBLEBANK,NBL
108,JAGO,JAG
109,FAMUR,FMF
110,MERCOR,MCR
111,KRUK,KRK
112,DROZAPOL,DPL
113,LUBAWA,LBW
114,PRATERM,PTM
115,DEBICA,DBC
116,SANOK,SNK
117,ZELMER,ZLR
118,ENERGOPLD,EPD
119,NOWAGALA,CNG
120,ERBUD,ERB
121,14ZACH,14N
122,JWCONSTR,JWC
123,JUTRZENKA,JTZ
124,BYTOM,BTM
125,MNI,MNI
126,CENTROZAP,CZP
127,ZNTKLAPY,ZNT
128,KOFOLA,KFL
129,ALMA,ALM
130,FARMACOL,FCL
131,FAM,FAM
132,BORYSZEW,BRS
133,HTLSTREFA,HTL
134,PAGED,PGD
135,CPENERGIA,CPE
136,CAPITAL,CPA
137,BUDOPOL,BDL
138,PEGAS,PGS
139,SFINKS,SFS
140,NEPENTES,NEP
141,APATOR,APT
142,PEPEES,PPS
143,WSIP,WSP
144,AMICA,AMC
145,KOELNER,KLR
146,KOLASTYNA,KOL
147,TECHMEX,TEX
148,TFONE,TFO
149,BBICAPNFI,BBC
150,PLAZACNTR,PLZ
151,PEKAES,PEK
152,ATM,ATM
153,RELPOL,RLP
154,KPPD,KPD
155,ARTMAN,ART
156,INSTALKRK,INK
157,ASSECOSLO,ACS
158,JUPITER,JPR
159,STALPROFI,STF
160,HUTMEN,HTM
161,PCGUARD,PCG
162,ELEKTROTI,ELT
163,OPONEO,OPN
164,NOVITA,NVT
165,SANWIL,SNW
166,IBSYSTEM,IBS
167,PROJPRZEM,PJP
168,FORTE,FTE
169,ACTION,ACT
170,ELEKTRIM,ELE
171,SILVANO,SFG
172,BBIZENNFI,BBZ
173,GROCLIN,GCN
174,NAFTA,NFT
175,TIM,TIM
176,GRAAL,GRL
177,PLASTBOX,PLX
178,MISPOL,MIP
179,WIELTON,WLT
180,COMP,CMP
181,AZOTYTARNOW,ATT
182,ARMATURA,ARM
183,SNIEZKA,SKA
184,08OCTAVA,08N
185,13FORTUNA,13N
186,INWESTCON,INC
187,ROPCZYCE,RPC
188,INTEGERPL,ITG
189,ACE,ACE
190,POINTGROUP,PGM
191,TUP,TUP
192,ATMGRUPA,ATG
193,FERRUM,FER
194,MEWA,MEW
195,RADPOL,RDL
196,STORMM,STM
197,ATLASEST,ATL
198,ULMA,ULM
199,KABLE,KBL
200,PAMAPOL,PMP
201,ORZBIALY,OBL
202,WILBO,WLB
203,MONNARI,MON
204,MOSTALPLC,MSP
205,BANKIER.PL,BPL
206,AMBRA,AMB
207,TORFARM,TFM
208,ENERGOPOL,EPL
209,MEDIATEL,MTL
210,MASTERS,MST
211,ABPL,ABE
212,PROSPER,PSP
213,TRITON,TRI
214,POLCOLORIT,PLT
215,ENERGOPN,EPN
216,GINOROSSI,GRI
217,PROCHEM,PRM
218,KRUSZWICA,KSW
219,05VICT,05N
220,LZPS,LZP
221,QUMAKSEK,QSM
222,ASSECOBS,ABS
223,WASKO,WAS
224,ECARD,ECD
225,KROSNO,KRS
226,ERG,ERG
227,OPTOPOL,OPL
228,TELL,TEL
229,IMPEL,IPL
230,KOMPUTRON,KOM
231,ODLEWNIE,ODL
232,TRION,TIN
233,RONSON,RON
234,WAWEL,WWL
235,DECORA,DCR
236,MIESZKO,MSO
237,AMPLI,APL
238,ESSYSTEM,ESS
239,BEEFSAN,BEF
240,FOTA,FOT
241,KOMPAP,KMP
242,YAWAL,YWL
243,DGA,DGA
244,NORTCOAST,NCT
245,IVMX,IMX
246,HYDROTOR,HDR
247,ZASTAL,ZST
248,IGROUP,IGR
249,SWISSMED,SWD
250,01NFI,01N
251,HYPERION,HYP
252,04PRO,04N
253,ORZEL,ORZ
254,POLNA,PLA
255,ONE2ONE,O2O
256,ASBIS,ASB
257,UNIBEP,UNI
258,SKYEUROPE,SKY
259,BAKALLAND,BAK
260,ZYWIEC,ZWC
261,WARIMPEX,WXF
262,TETA,TET
263,NOVITUS,NVS
264,REDAN,RDN
265,PEMUG,PMG
266,ELZAB,ELZ
267,IZNS,IZN
268,TRAVELPL,TVL
269,KAREN,KAR
270,NETMEDIA,NEM
271,ENAP,ENP
272,INTERFERI,INF
273,GFPREMIUM,PRE
274,INDYKPOL,IND
275,SECOGROUP,SWG
276,NTTSYSTEM,NTT
277,ABMSOLID,ABM
278,EFH,EFH
279,LENA,LEN
280,RAFAMET,RAF
281,PERMEDIA,PMD
282,BETACOM,BCM
283,MUZA,MZA
284,EUROFAKTR,EFR
285,BMPAG,BMP
286,PRONOX,PRO
287,SIMPLE,SME
288,ARTERIA,ARR
289,VARIANT,VRT
290,EUROTEL,ETL
291,B3SYSTEM,B3S
292,KONSSTALI,KST
293,GRKOSCIU,GRK
294,CASHFLOW,CFL
295,PANOVA,NVA
296,SELENAFM,SEL
297,INTROL,INL
298,KRAKCHEM,KCH
299,MAKRUM,MKM
300,OPOCZNO,OPO
301,FORTISPL,FTS
302,SEKO,SEK
303,MCLOGIC,MCL
304,ENERGOINS,ENI
305,REMAK,RMK
306,ZPUE,PUE
307,FASING,FSG
308,MAGELLAN,MAG
309,INSTAL,INS
310,INTERSPPL,IPO
311,RAINBOW,RBW
312,ZETKAMA,ZKA
313,KREDYTIN,KRI
314,MAKARONPL,MAK
315,PROCAD,PRD
316,TALEX,TLX
317,ERGIS,EEF
318,EFEKT,EFK
319,PRIMAMODA,PMA
320,IZOLACJA,IZO
321,LSISOFT,LSI
322,CITYINTER,CIA
323,COMPLEX,CMX
324,ZEG,ZEG
325,POLLENAE,PLE
326,MENNICA,MNC
327,GADUGADU,GGU
328,MOJ,MOJ
329,SPRAY,SPY
330,SKYLINE,SKL
331,BIPROMET,BPM
332,WANDALEX,WDX
333,SUWARY,SUW
334,ATLANTAPL,ATP
335,HELIO,HEL
336,EMCINSMED,EMC
337,BACA,BCA
338,INTERIA.PL,INTH
339,WARFAMA,WFM
340,UNIMA,U2K
341,WOLAINFO,WIN
342,BUDVARCEN,BDV
343,RESBUD,RES
344,POLREST,POL
345,STAPORKOW,ZUK
346,SOBIESKI,BVD
347,EUROMARK,EMK
348,OLYMPIC,OEG
349,BEST,BST
350,SRUBEX,SRX
351,ARCUS,ARC
352,TUEUROPA,ERP
353,REINHOLD,RHD
354,JCAUTO,JCA
355,QUANTUM,QNT
356,DROP,DRP
357,WOJAS,WOJ
358,HARDEX,HDX
359,DRAGOWSKI,ADD
360,BOS,BOS
361,TERESA,TER
362,IRENA,IRE
